Ααρων	Ααρων＆Ἀαρών
ἐθυμίασαν	θυμιάζω＆θυμιάω
ἐθυμίασεν	θυμιάζω＆θυμιάω
ἐθυμίων	θυμιάζω＆θυμιάω
ἐθυμιῶσαν	θυμιάω＆θυμιόω
εἶδαν	εἶδον＆ὁράω
εἶδον	εἶδον＆ὁράω
εἶδόν	εἶδον＆εἶπον＆ὁράω
εἰδόσιν	οἶδα＆ὁράω
εἰδότα	εἶδον＆οἶδα
εἰδότας	εἶδον＆οἶδα＆ὁράω
εἰδότες	εἶδον＆εἰδότες＆οἶδα＆ὁράω
εἰδωλίῳ	εἰδωλεῖον＆εἰδωλῖον
εἰδώλων	εἴδωλον＆ὁ
εἰδὼς	εἰδώ＆οἰδά＆οἴδα＆οἶδα＆ὁράω
εἰκόνα	εἰκων＆εἰκών
εἰκὼν	εἴκω＆εἰκών
εἵλκυσεν	ἑλκύω＆ἕλκω
εἵνεκεν	εἵνεκεν＆ἕνεκα
εἰπάτω	εἰπάτω＆εἶπον
εἰπάτωσαν	εἰπάτωσαν＆εἶπον
εἶπε	εἶπον＆λέγω
εἰπεῖν	εἶπον＆λέγω
εἴπῃ	εἶπον＆λέγω
εἴπῃς	εἶπον＆λέγω
εἰπὸν	εἰπόν＆εἶπον＆λέγω
εἰπόντων	εἶπον＆λέγω
εἴπωμεν	εἶπον＆λέγω
εἴπωσιν	εἶπον＆λέγω
εἰρήνευσεν	εἰρηνεύω＆εἰρήνεύω
Εἰρήνη	εἰρήνη＆Εἰρήνη
εἰσαγάγετε	ἀγω＆ἄγω
εἰσελήλυθεν	ἐρχομαι＆ἔρχομαι
εἰσένεγκε	φέπω＆φέρω
εἶτ'	εἰμί＆εἶτα
εἴτε	εἰμί＆εἴτε
ἐκάθευδεν	εὔδω＆εὕδω＆καθεύδω
ἐκάθητο	ἧμαι＆κάθημαι
ἐκάθισεν	ἵζω＆καθίζω
ἐκβεβλημένην	βάλλω＆βεβηλόω
ἐκδικᾶται	δικάζω＆δικέω
ἐκδικῆσαι	δικάζω＆δικέω
ἐκδικήσει	δικέω＆ἐκδικήσις＆ἐκδίκησις
ἐκδικήσεις	δικέω＆ἐκδικήσις＆ἐκδίκησις
ἐκδικήσεως	ἐκδικήσις＆ἐκδίκησις
ἐκδικήσῃς	δικέω＆ἐκδικέω
ἐκδίκησιν	ἐκδικήσις＆ἐκδίκησις
ἐκδίκησις	ἐκδικήσις＆ἐκδίκησις
ἐκείνῳ	ἐκείνος＆ἐκεῖνος
ἐκέρασεν	κεράννυμι＆κεραννύω
ἐκκαυθήσεται	καίω＆καύω
ἐκκαύσει	καίω＆καύω
ἐκλείψει	ἐκλείπω＆ἔκλειψις＆λείπω
ἐκλελοίπασιν	λείπω＆λοίπω
ἐκλύσεως	ἐκλύσις＆ἔκλυσις
ἐκπετάσω	πετάννυμι＆πεταννύω
ἐκραταίωσας	κραταιόω＆κραταίοω
ἐκραταίωσεν	κραταιόω＆κραταίοω
ἐκρέμασεν	κράννυμι＆κρεμάζω
ἔκρινον	κρίνον＆κρίνω
ἐκτείνας	κτείνω＆τείνω
ἐκτριβῇ	ἐκτριβή＆τρίβω
ἐκχύσεως	ἐκχύσις＆ἔκχυσις
ἐκωθωνίζοντο	κωθωνίζομαι＆κωθωνίζω
ἐλαίαν	ἐλαία＆ἐλαίαν
ἔλαιον	ἔλαιον＆ἔλιον
ἔλαμψαν	ἔλαμψαν＆λάμπω
ἔλαττον	ἐλάττων＆ἐλαχύς
ἐλαττόνων	ἐλάττων＆ἐλαχύς
ἐλαττώσει	ἐλαττόω＆ἐλάττωσις
Ελεαζαρ	Ελεαζαρ＆Ελεαζαρος
Ελεαζαρον	Ελεαζαρος＆Ἐλεάζαρος
ἐλέγχων	ἔλεγχος＆ἐλέγχω
