1	†1.1.1	
11	†1.1.2	
30	†1.1.3	
39	†1.1.4	
60	†1.1.5	
80	†1.1.6	
101	†1.1.7	
129	†1.1.8	
150	†1.1.9	
187	†1.1.10	
207	†1.1.11	
242	†1.1.12	
277	†1.1.13	
285	†1.1.14	
324	†1.1.15	
341	†1.1.16	
370	†1.1.17	
385	†1.1.18	
409	†1.1.19	
417	†1.1.20	
441	†1.1.21	
473	†1.1.22	
496	†1.1.23	
504	†1.1.24	
527	†1.1.25	
557	†1.1.26	
596	†1.1.27	
612	†1.1.28	
656	†1.1.29	
688	†1.1.30	
722	†1.1.31	
742	†1.2.1	
754	†1.2.2	
781	†1.2.3	
806	†1.2.4	
825	†1.2.5	
857	†1.2.6	
870	†1.2.7	
895	†1.2.8	
912	†1.2.9	
947	†1.2.10	
960	†1.2.11	
976	†1.2.12	
993	†1.2.13	
1007	†1.2.14	
1025	†1.2.15	
1044	†1.2.16	
1061	†1.2.17	
1083	†1.2.18	
1099	†1.2.19	
1140	†1.2.20	
1167	†1.2.21	
1188	†1.2.22	
1208	†1.2.23	
1234	†1.2.24	
1258	†1.2.25	
1273	†1.3.1	
1311	†1.3.2	
1323	†1.3.3	
1348	†1.3.4	
1357	†1.3.5	
1381	†1.3.6	
1418	†1.3.7	
1437	†1.3.8	
1470	†1.3.9	
1483	†1.3.10	
1501	†1.3.11	
1524	†1.3.12	
1542	†1.3.13	
1562	†1.3.14	
1602	†1.3.15	
1634	†1.3.16	
1663	†1.3.17	
1705	†1.3.18	
1716	†1.3.19	
1742	†1.3.20	
1757	†1.3.21	
1773	†1.3.22	
1808	†1.3.23	
1825	†1.3.24	
1854	†1.4.1	
1873	†1.4.2	
1892	†1.4.3	
1906	†1.4.4	
1933	†1.4.5	
1952	†1.4.6	
1970	†1.4.7	
1989	†1.4.8	
2021	†1.4.9	
2045	†1.4.10	
2062	†1.4.11	
2084	†1.4.12	
2103	†1.4.13	
2116	†1.4.14	
2146	†1.4.15	
2177	†1.4.16	
2191	†1.4.17	
2217	†1.4.18	
2237	†1.4.19	
2252	†1.4.20	
2265	†1.4.21	
2278	†1.4.22	
2296	†1.4.23	
2326	†1.4.24	
2336	†1.4.25	
2366	†1.4.26	
2385	†1.5.1	
2402	†1.5.2	
2420	†1.5.3	
2444	†1.5.4	
2462	†1.5.5	
2476	†1.5.6	
2487	†1.5.7	
2505	†1.5.8	
2517	†1.5.9	
2527	†1.5.10	
2546	†1.5.11	
2558	†1.5.12	
2568	†1.5.13	
2586	†1.5.14	
2598	†1.5.15	
2610	†1.5.16	
2628	†1.5.17	
2641	†1.5.18	
2653	†1.5.19	
2669	†1.5.20	
2682	†1.5.21	
2694	†1.5.22	
2712	†1.5.23	
2722	†1.5.24	
2735	†1.5.25	
2747	†1.5.26	
2764	†1.5.27	
2779	†1.5.28	
2789	†1.5.29	
2819	†1.5.30	
2838	†1.5.31	
2851	†1.5.32	
2867	†1.6.1	
2882	†1.6.2	
2902	†1.6.3	
2933	†1.6.4	
2973	†1.6.5	
3002	†1.6.6	
3015	†1.6.7	
3045	†1.6.8	
3053	†1.6.9	
3071	†1.6.10	
3082	†1.6.11	
3094	†1.6.12	
3114	†1.6.13	
3141	†1.6.14	
3160	†1.6.15	
3182	†1.6.16	
3206	†1.6.17	
3235	†1.6.18	
3264	†1.6.19	
3299	†1.6.20	
3340	†1.6.21	
3360	†1.6.22	
3372	†1.7.1	
3399	†1.7.2	
3425	†1.7.3	
3456	†1.7.4	
3482	†1.7.5	
3492	†1.7.6	
3505	†1.7.7	
3532	†1.7.8	
3558	†1.7.9	
3574	†1.7.10	
3589	†1.7.11	
3621	†1.7.12	
3633	†1.7.13	
3660	†1.7.14	
3686	†1.7.15	
3702	†1.7.16	
3727	†1.7.17	
3752	†1.7.18	
3769	†1.7.19	
3790	†1.7.20	
3804	†1.7.21	
3830	†1.7.22	
3844	†1.7.23	
3883	†1.7.24	
3893	†1.8.1	
3934	†1.8.2	
3952	†1.8.3	
3970	†1.8.4	
3988	†1.8.5	
4011	†1.8.6	
4024	†1.8.7	
4046	†1.8.8	
4061	†1.8.9	
4100	†1.8.10	
4113	†1.8.11	
4141	†1.8.12	
4159	†1.8.13	
4203	†1.8.14	
4217	†1.8.15	
4225	†1.8.16	
4246	†1.8.17	
4278	†1.8.18	
4297	†1.8.19	
4322	†1.8.20	
4349	†1.8.21	
4396	†1.8.22	
4415	†1.9.1	
4438	†1.9.2	
4478	†1.9.3	
4495	†1.9.4	
4502	†1.9.5	
4528	†1.9.6	
4544	†1.9.7	
4557	†1.9.8	
4570	†1.9.9	
4583	†1.9.10	
4611	†1.9.11	
4640	†1.9.12	
