《588》	『a headland, foreland, cape』『a mountain-top, summit』『from top to bottom』『utterly』『utterly』『the citadel』
《597》	『exact, accurate, precise, made』『done to a nicety』『exact, precise, strict, consummate』『painfully exact, over-nice, precise, curious』『to a nicety, precisely』『parsimonious, frugal』
《601》	『anything heard with pleasure』『a play』『musical piece』
《602》	『to hearken to, listen to』『to listen』『a hearer, disciple』『to attend to, obey』
《603》	『a hearing』『listening』『obedience to』
《607》	『fruit-trees』『fruits』
《609》	『the upper city』『the citadel』『the Acropolis』『a tower of defence』
《610》	『at the furthest point』『topmost』『outermost』『highest, topmost』『at its surface』『outermost』『the end』『ends』『tip』『on tiptoe』『with the outermost』『close-reefed』『completeness』『was fully come』『dead』『the highest』『exceeding good, consummate, excellent』『strong』『skilful』『on the top』『surface』『just』『on the very』『exceedingly』『utterly, completely』
《611》	『cut off sharp, abrupt』
《613》	『to cut off the extremities, mutilate』『cut the beaks off』『having mutilated』
《614》	『any prominent part』『peak』『a cape, promontory』『the extremity』『beak』『the extremities of the body, hands and feet, fingers and toes』『wings』
《615》	『a ray, beam』『sunset』『brightness, splendour, glory』『the spoke』
《617》	『without authority』『invalid』『of no force』『having no right』『power』
《621》	『unhindered』
《628》	『to make false pretensions』
《636》	『the avenging deity, destroying angel』『plague』『he who suffers from such vengeance, an accursed wretch』『he that makes to wander』
《638》	『to feel bodily pain, suffer』『to suffer hardship』『to feel pain of mind, to grieve, be troubled』『distressed』『to be pained at』
《639》	『a sense of pain, pain, suffering』『pain, grief』
《640》	『pain, suffering』
《642》	『pain』『pain』『grief, distress』『anything that causes pain』
《643》	『anything used for anointing, unguent, fat, oil』
《645》	『a cock』『a hen』
《655》	『to grind, bruise, pound』
《664》	『the sea-eagle, osprey』
《672》	『to pollute』
《674》	『sinning』『offending against』『sinful, guilty』
《678》	『strength』『prowess, courage, boldness』『prowess』『feats of strength』『strength to avert danger, a defence, succour』『defence』『aid against』『and resist』『on one's guard』『battle, fight』
《681》	『a change』『exchange, barter』
《682》	『that which is given』『the price』
《684》	『elsewhere, in another place』『here』『there』『here』『there』
《691》	『using a strange tongue』
《693》	『from another place』『from one place』『from another』『from abroad』
《694》	『to make different, to change, alter』『to become different, be changed』『to be changed for the worse』
《695》	『a change, alteration』
《698》	『at another time, at other times』『at one time . . , at another . .』『at one time』『at another another』
《700》	『alienation, estrangement』
《703》	『estrangement』『estrangement』『loss』
《712》	『a spring, leap, bound』『a leap』『fall from』『the leap』
《713》	『sea-water, brine』『spray that has dried on the skin』『a salt incrustation』『the sea』
《715》	『salt, briny』『salt, brackish』『bitter, distasteful』『bitterly』
《717》	『to pay no regard to』『to be disregardful of』『to be out of one's senses』
《718》	『thoughtlessness, rashness』
《719》	『unreasoning, inconsiderate, thoughtless, heedless』『unreason』『not to be reckoned』『not to be taken into account, vile』
《724》	『a threshing』
《725》	『anything used for anointing, hog's-lard, grease, unguent』『laying on』
《729》	『a glade』『grove』『grove』
《730》	『like a grove』
《738》	『whiteness: white leprosy』
《756》	『ignorance』『ignorant of』
《786》	『dimly seen, dim, faint, baffling sight』『shadowy』『having no light, darksome』『blind, sightless』『blind』『dim, obscure, uncertain』『obscure, unknown』『gloomy, troubled』『enfeebling』
《787》	『to make dim, faint』『obscure』『to impair』『to become dim, suffer eclipse』『to disappear』
《793》	『to be dim-sighted』
《796》	『immortal』『ambrosial, divine』『everything belonging to the gods』
《802》	『to milk』『to milk』『to draw』『having』『drawn from them, milch-』『to squeeze out like milk, to press out』『to drink』
《809》	『without parts, indivisible』
《816》	『unmeasured, immeasurable, immense』『unnumbered, countless』
《820》	『without means』『resource, at a loss』『about』『awkward at』『at a loss how to』『unable to』『impracticable, difficult』『hard』『'tis impossible』『impossibilities』『against whom nothing can be done, irresistible』『mischief without resource』『remedy』『inexplicable』『extraordinary, immense』『an extraordinary amount』『inconceivable』『inconceivable』『extraordinarily』
《827》	『without reward』
《850》	『to be unmindful』『to make no mention of, not speak of』
《854》	『forgetfulness of wrong: an amnesty』
《857》	『without share in』『unfortunate』
《863》	『unlucky, wretched』
《867》	『misshapen, unsightly』
《878》	『unspeakable, unspeakably many』『great』
《881》	『to clothe』
《887》	『taking in on all sides, widespreading』『abundant, excessive, enormous』『universal』『copiously』『bulky, huge』
《907》	『a going up, mounting』『the horsemen』『an expedition up from』『a way up, ascent』
《908》	『to raise』『lift up, carry』
《911》	『to come to life again, return to life』
《912》	『to shoot up, grow up again』『to spring up, be rank』
《918》	『to boil well, seethe』
《929》	『a reader, a slave trained to read』
《930》	『to proclaim publicly』『to be proclaimed』
《931》	『a registering』『a register』
《932》	『to engrave and set up』『to inscribe, register』『to register』『to be registered』『to be registered』『to describe』『to entitle』
《940》	『a drawing back, retreat』『a holding back』
《942》	『to boil up』『bubble up』『to swarm with』
《959》	『shameless』『insatiate』『the reckless』
《966》	『to light up』『to light oneself』『to fire up』
《967》	『to call up the dead』『to call again and again』『to invoke, appeal to』『to summon, cite』『to call to oneself, send for, summon』『to call』『to call on』『to cheer on』『to call back, recall』『from』
《971》	『to proclaim by voice of herald, publish abroad』『to proclaim as conqueror』『to put up to auction』
《972》	『to bend back』『to break short off』
《976》	『to communicate』『to communicate with, take counsel with』『to communicate』『one's own』『mingles its』『to impart』『to consult』『to hold communication』
《977》	『to carry up』『to be carried up stream』『up the country』『to bring back, recover』『to take back with one』『to be brought back』『to return』『to bring to pass』『to bring back upon oneself』
《982》	『to push back, stop short, check』『to put one's』『to put back』『to strike up』
《986》	『without pain』『insensible to pain』『unfeeling, hard-hearted, ruthless』『to feel less grieved』『insensible to』『unfeelingly』『not painful』『cruel』
《987》	『to pick up, gather up』『to pick up for oneself』『to collect one's』『to reckon up』『being recounted』
《996》	『outlay, expenditure』
《1001》	『to mix up, mix together』『to be mixed』『to have intercourse』『to mix』『with』『to have intercourse』
《1003》	『intercourse』
《1005》	『to raise by a lever, to force open』
《1008》	『husbandless』『without men』『wanting in manhood, unmanly』
《1009》	『to renew one's youth』
《1013》	『to throw the head back』『shaking the head)』『to deny, refuse』
《1014》	『a renewal』
《1020》	『to dry up』『to dry up』
《1024》	『back again』『over again』『contrariwise, reversely』
《1025》	『a repose, rest』『a resting-place』
《1029》	『to pierce through, fix on a spit』『to impale』
《1030》	『to spread out, unfold, unfurl』『to let』『flow loose』『having shed』『abroad』『to throw wide』『thrown open』『lying on its back』『open』『in the open air』
《1031》	『to leap up, start up』『to leap back』
《1034》	『to form anew, remodel』『to rebuild one's』『to invent』『to plaster up』『having』『plastered』
《1036》	『a filling up』
《1037》	『to breathe again, take breath』『to recover from』『to revive』『to draw breath, breathe』『to breathe forth, send forth』
《1038》	『to make to step back, call back, cross-examine』『to correct』
《1041》	『to raise its feathers』『to set on the wing, excite vehemently』『to be in a state of excitement』
《1048》	『to snatch up』『to snatch away, carry off』『to kidnap』『to be dragged before a magistrate, carried off to prison』『to rescue』『to take by storm, plunder』『to take』『by storm』『at once』『to carry off, steal』
《1049》	『to break up』『to break through』『has』『broken through』『to tear open』『was cleaving』『to make to break forth, utter』『to make it break out, excite greatly』『to burst forth』『to break forth』
《1051》	『to dig up, to dig up ground』
《1056》	『to raise up』『to gird up』『to keep back, repulse』『to retire』
《1063》	『to rip up』『to rend』
《1065》	『to stretch up, hold up』『to lift up』『to stretch forth』『with』『stretched out』『to hold out』『threat』『to hold up』『to lift up, exalt』『to stretch out, extend』『spread』『to reach up』『to extend out』
《1067》	『to cut open』
《1075》	『to run back』『to retrace』『to jump up and run, start up』『spurted up』『started up』『to run up, shoot up』『to shoot up, rise quickly』『ran sheer up』
《1078》	『to impress again』
《1090》	『to open the mouth, gape wide』
《1094》	『a cooling, refreshing: relief, recovery, respite』『from』
《1097》	『brave deeds』
《1098》	『bravery, manly virtue, the character of a brave honest man』
《1099》	『one taken in war and sold as a slave, a captive』『a slave, a slavish low fellow』
《1100》	『manliness, manhood, manly spirit』
《1101》	『of』『for a man』『manly, masculine』『stubborn』『strong, vigorous』
《1106》	『a man-woman, hermaphrodite』『a womanish man, effeminate person』『common to men and women』
《1111》	『to rear up into manhood』『to become a man, reach manhood』『to be of marriageable age』
《1113》	『to wake up, rouse』『to wake up, raise』『to rouse, encourage』『to raise』
《1116》	『to roll up together:&mdash;』『to crowd』『throng together』『to shrink up』『back』
《1117》	『ibo』『to go up』『rise』『to sail up』『out to sea』『to go up inland』『to approach』『to go back, go home, return』
《1121》	『unhoped for, unlooked for』『the hopelessness』『having no hope, hopeless』『having no hope』『not expecting that . .』『leaving no hope, hopeless, desperate』『despair』『more desperate』
《1126》	『unembarrassed』
《1127》	『unquestioned, impossible to be questioned』『refuted』『without proof』『not to be convicted, irreproachable』
《1130》	『unreasonable, unfair』
《1132》	『to examine closely, investigate』
《1142》	『not yet come to man's estate, beardless』
《1143》	『not to be healed, incurable, irreparable, fatal』『irreparable injuries』『implacable』『damaging beyond remedy, deadly』『with barbarous cruelty』
《1144》	『without hearing』『not hearing』『never having heard』『ignorant』『ignorant』
《1147》	『without pity, unmerciful:&mdash;』
《1149》	『endless』
《1151》	『with flowers』
《1152》	『to blossom, bloom』『to be bright』『to be in bloom』『to be in the bloom』『to flourish』『to abound』『to be at the height』『pitch』
《1166》	『incurable』『incorrigible』『incurable』
《1167》	『to dedicate, devote』
《1170》	『unconquered, unconquerable』
《1188》	『pitiless, ruthless』『without pity, without being pitied』
《1193》	『unlike, dissimilar』『unlike』『unlike』
《1196》	『unprofitable, useless』『in vain』『making no profit from』
《1198》	『to dig up』『to dig』『up, break open』
《1206》	『an opponent, competitor, rival』『a rival』
《1207》	『to raise against』『to rise up against』『to rise opposite to』
《1208》	『to hear in turn』『to hear in return』
《1210》	『to exchange』『with』『to change』『to take in exchange』『for』『shall receive』『in exchange』『having made an interchange of』
《1212》	『to take away from the opposite sides of an account, to cancel』
《1214》	『to set up against』『to rise up against』
《1224》	『to set firmly against』『to set』『against』『to plant』『firm』『to stand firm, resist pressure』
《1226》	『to sound』『sing in answer』『to sound responsively』
《1230》	『to write against』『in answer, write back』『to put in as a plea, to plead against』
《1231》	『to give in return, repay』『to give for』『instead of』『to offer to change fortunes with』
《1232》	『to dispute, go to law』『the parties to a suit』『to urge one's suit against . .』
《1237》	『to sit』『lie over against』
《1239》	『to exchange』『for』『to give』『for』『to receive』『in exchange for』
《1244》	『to kindle a light in turn』『to reflect light, shine』『to shine opposite to』『in the face of』
