360.2.20	<C+「」「」[「」「」]|P「」|A「」「」><P+「」「」|C「」|A「」「」[「」]><P+「」「」|C「」「」[「」]|A「」「」「」[「」「」]|{「」}|C「」「」[「」]|A「」「」「」[「」「」]><P+「」「」|S「」「」[「」]><P+「」「」|S「」「」[「」]><P+「」「」|C「」「」[「」]>
360.2.21	<P「」|D「」><P「」{「」}「」><P+「」「」|S「」|C「」「」>
360.2.22	<P「」|D「」[「」「」]><P+「」「」|S「」[「」「」]><S+「」「」|P「」|C「」「」[「」]><S「」{「」}「」|P「」|C「」「」[「」]>
360.2.23	<S+「」「」「」[「」]|P「」{「」}「」|A「」「」「」=「」[「」]><P+「」「」|C「」|C「」「」[「」「」]><P+「」「」|C「」|C「」[「」{「」}「」]|A「」「」>
360.2.24	<P+「」「」|C「」「」|C「」><P+「」「」|C「」「」|C「」{「」}「」>
360.2.25	<P+「」「」|C「」|C「」「」「」(C「」|P「」|S「」「」{「」}「」「」{「」}「」「」{「」}「」「」)><C「」「」[「」][「」「」]|P(S「」|P「」|A「」「」)>
360.2.26	<P+「」「」|C「」><P+「」「」><P+「」「」|C「」「」[「」=「」「」[「」]](S「」|P「」|A「」「」|A「」「」)><P+「」「」「」「」|S「」「」[「」]|A「」「」「」>
360.2.27	<P+「」「」|C「」(A「」「」[「」「」]|S「」|P「」)><S+「」「」|P「」=「」「」[「」]><P+「」「」「」|A「」|A「」「」><P+「」「」「」「」|A「」|S[「」]「」「」[「」]|A「」「」「」>
360.3.1	¶<P+「」「」|A「」「」><P+「」「」|A「」「」「」[「」]|A「」[「」]「」><P+「」「」|S「」「」[「」]{「」}「」「」[「」]><S+「」「」「」[「」]|C「」|P「」><S+「」「」「」[「」]|C「」|P「」>
360.3.2	<A+「」「」「」「」{「」}「」「」「」|A[「」「」「」[「」]]|P「」|A「」「」「」[「」]>
360.3.3	<P+「」「」|C「」|A「」「」「」{「」}「」「」「」|C「」{「」}「」{「」}「」[「」]>
360.3.4	<S「」「」|P「」|A「」「」|{「」}|S「」「」|A「」「」|A+「」(P「」|S「」[「」[「」「」{「」}「」]])>
360.3.5	<P+「」「」|S(S[「」]「」|P[「」]「」|C「」「」[「」])|P「」><A+「」「」「」「」[「」]|{「」}|A「」「」|P「」「」|A「」(P「」|S「」)><P+「」「」|A(C「」|S「」|P「」)>
360.4.1	¶<P+「」「」><S「」|A「」「」「」[「」]{「」}「」「」「」[「」]|A+「」|P「」|C「」「」[「」{「」}「」]>
360.4.2	<P+「」「」|C[「」]「」「」><P+「」「」|C「」|A「」「」「」[「」]><P+「」「」|A「」「」|A「」|A「」「」「」[「」]{「」}「」「」[「」]=「」(C「」|P「」|A「」「」「」><C+「」「」「」[「」]|P「」>
360.4.3	<A+「」「」「」「」[「」]|P「」|C「」><P+「」「」|C「」「」|A「」|{「」}|C「」「」|A「」|A「」「」{「」}「」>
360.4.4	<S+「」「」><S+「」「」|P「」|D「」{「」}「」{「」}[「」]「」[「」]><A「」|C「」|S「」|P「」|C「」><P+「」「」|S「」|A「」「」><A「」{「」}「」|P「」|C「」「」[「」]|A「」「」[「」]>
360.4.5	<J+「」+「」><C「」「」[「」]{「」}「」「」[「」]|P「」><C+「」「」「」[「」]{「」}「」「」|P「」|A「」「」「」[「」]>
360.4.6	<C+「」「」「」[「」]{「」}「」「」[「」]|P「」|A「」「」[「」「」]><A「」|P「」|C「」|A「」「」「」[「」]>
360.4.7	<P「」><S「」|P「」|C「」|A「」「」「」|A「」(P「」|C「」|A「」)><P+「」「」|C「」「」[「」]|A「」「」[「」]>
360.4.8	<P+「」「」|C「」「」[「」]{「」}「」「」[「」]|A「」「」[「」[「」]]><P+「」「」|C「」|A「」「」|A「」「」(A「」|P「」)><S+「」「」|P「」>
360.4.9	¶<P「」|C「」|A「」「」「」><P「」|C「」><P「」|C「」「」><P「」{「」}「」|D[「」]「」=「」>
