1	
2	
3	
4	
5	
6	
7	
8	
9	
10	
11	
12	
13	
14	
15	
16	
17	
18	
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	
29	
30	
31	
32	
33	
34	
35	
36	
37	
38	
39	
67	Tob	Tobit
68	Jdt	Judith
69	Wis	Wisdom
70	Sir	Sirach
71	Bar	Baruch
72	1Ma	1Maccabees
73	2Ma	2Maccabees
74	1Es	1Esdras
75	2Es	2Esdras
76	3Ma	3Maccabees
77	4Ma	4Maccabees
78	Man	Prayer of Manasseh
