lxx.C+RP.GS	<null>	conjunction + pronoun, relative, Gen Sing
lxx.C+RP.NS	<null>	conjunction + pronoun, relative, Nom Sing
lxx.C+RP.NSM	<null>	conjunction + pronoun, relative, Nom Sing Masc
lxx.C+X	<null>	conjunction + particle
lxx.D	<null>	adverb
lxx.D.APN	<null>	adverb, Acc Plur Neut
lxx.D.DSF	<null>	adverb, Dat Sing Fem
lxx.D.P	<null>	adverb, Pres
lxx.I	<null>	interjection
lxx.M	<null>	indeclinable number
lxx.M.ADF	<null>	indeclinable number, Acc Dual Fem
lxx.M.ADM	<null>	indeclinable number, Acc Dual Masc
lxx.M.ADN	<null>	indeclinable number, Acc Dual Neut
lxx.M.APF	<null>	indeclinable number, Acc Plur Fem
lxx.M.APM	<null>	indeclinable number, Acc Plur Masc
lxx.M.ASN	<null>	indeclinable number, Acc Sing Neut
lxx.M.DP	<null>	indeclinable number, Dat Plur
lxx.M.DPF	<null>	indeclinable number, Dat Plur Fem
lxx.M.DPM	<null>	indeclinable number, Dat Plur Masc
lxx.M.DPN	<null>	indeclinable number, Dat Plur Neut
lxx.M.DS	<null>	indeclinable number, Dat Sing
lxx.M.DSF	<null>	indeclinable number, Dat Sing Fem
lxx.M.GDF	<null>	indeclinable number, Gen Dual Fem
lxx.M.GDM	<null>	indeclinable number, Gen Dual Masc
lxx.M.GDN	<null>	indeclinable number, Gen Dual Neut
lxx.M.GPF	<null>	indeclinable number, Gen Plur Fem
lxx.M.GSF	<null>	indeclinable number, Gen Sing Fem
lxx.M.GSM	<null>	indeclinable number, Gen Sing Masc
lxx.M.NDF	<null>	indeclinable number, Nom Dual Fem
lxx.M.NDM	<null>	indeclinable number, Nom Dual Masc
lxx.M.NDN	<null>	indeclinable number, Nom Dual Neut
lxx.M.NPF	<null>	indeclinable number, Nom Plur Fem
lxx.M.NPM	<null>	indeclinable number, Nom Plur Masc
lxx.M.NSM	<null>	indeclinable number, Nom Sing Masc
lxx.M3M.ASN	<null>	indeclinable number, Acc Sing Neut
lxx.M3M.NPN	<null>	indeclinable number, Nom Plur Neut
lxx.N	<null>	noun
lxx.N.A	<null>	noun, Acc
lxx.N.AAN	<null>	noun, Aor Act Infin
lxx.N.AP	<null>	noun, Acc Plur
lxx.N.APF	<null>	noun, Acc Plur Fem
lxx.N.APM	<null>	noun, Acc Plur Masc
lxx.N.APMC	<null>	noun, Acc Plur Masc Compar
lxx.N.APN	<null>	noun, Acc Plur Neut
lxx.N.AS	<null>	noun, Acc Sing
lxx.N.ASF	<null>	noun, Acc Sing Fem
lxx.N.ASM	<null>	noun, Acc Sing Masc
lxx.N.ASN	<null>	noun, Acc Sing Neut
lxx.N.D	<null>	noun, Dat
lxx.N.DP	<null>	noun, Dat Plur
lxx.N.DPF	<null>	noun, Dat Plur Fem
lxx.N.DPM	<null>	noun, Dat Plur Masc
lxx.N.DPN	<null>	noun, Dat Plur Neut
lxx.N.DS	<null>	noun, Dat Sing
lxx.N.DSF	<null>	noun, Dat Sing Fem
lxx.N.DSM	<null>	noun, Dat Sing Masc
lxx.N.DSN	<null>	noun, Dat Sing Neut
lxx.N.G	<null>	noun, Gen
lxx.N.G/D	<null>	noun, Gen/Dat
lxx.N.GP	<null>	noun, Gen Plur
lxx.N.GPF	<null>	noun, Gen Plur Fem
lxx.N.GPM	<null>	noun, Gen Plur Masc
lxx.N.GPMS	<null>	noun, Gen Plur Masc Superlative
lxx.N.GPN	<null>	noun, Gen Plur Neut
lxx.N.GS	<null>	noun, Gen Sing
lxx.N.GSF	<null>	noun, Gen Sing Fem
lxx.N.GSM	<null>	noun, Gen Sing Masc
lxx.N.GSN	<null>	noun, Gen Sing Neut
lxx.N.N	<null>	noun, Nom
lxx.N.N M	<null>	noun, Nom Masc
lxx.N.NP	<null>	noun, Nom Plur
lxx.N.NPF	<null>	noun, Nom Plur Fem
lxx.N.NPM	<null>	noun, Nom Plur Masc
lxx.N.NPN	<null>	noun, Nom Plur Neut
lxx.N.NS	<null>	noun, Nom Sing
lxx.N.NSF	<null>	noun, Nom Sing Fem
lxx.N.NSM	<null>	noun, Nom Sing Masc
lxx.N.NSN	<null>	noun, Nom Sing Neut
lxx.N.S	<null>	noun, Sing
lxx.N.SF	<null>	noun, Sing Fem
lxx.N.SM	<null>	noun, Sing Masc
lxx.N.SN	<null>	noun, Sing Neut
lxx.N.VPF	<null>	noun, Voc Plur Fem
lxx.N.VPM	<null>	noun, Voc Plur Masc
lxx.N.VPN	<null>	noun, Voc Plur Neut
lxx.N.VS	<null>	noun, Voc Sing
lxx.N.VSF	<null>	noun, Voc Sing Fem
lxx.N.VSM	<null>	noun, Voc Sing Masc
lxx.N.VSN	<null>	noun, Voc Sing Neut
lxx.P	<null>	preposition
lxx.P+A.ASM	<null>	preposition + adjective, Acc Sing Masc
lxx.P+X	<null>	preposition + particle
lxx.RA.APF	<null>	pronoun, article, Acc Plur Fem
lxx.RA.APM	<null>	pronoun, article, Acc Plur Masc
lxx.RA.APN	<null>	pronoun, article, Acc Plur Neut
lxx.RA.ASF	<null>	pronoun, article, Acc Sing Fem
lxx.RA.ASM	<null>	pronoun, article, Acc Sing Masc
lxx.RA.ASN	<null>	pronoun, article, Acc Sing Neut
lxx.RA.DP	<null>	pronoun, article, Dat Plur
lxx.RA.DPF	<null>	pronoun, article, Dat Plur Fem
lxx.RA.DPM	<null>	pronoun, article, Dat Plur Masc
lxx.RA.DPN	<null>	pronoun, article, Dat Plur Neut
lxx.RA.DS	<null>	pronoun, article, Dat Sing
lxx.RA.DSF	<null>	pronoun, article, Dat Sing Fem
lxx.RA.DSM	<null>	pronoun, article, Dat Sing Masc
lxx.RA.DSN	<null>	pronoun, article, Dat Sing Neut
lxx.RA.GP	<null>	pronoun, article, Gen Plur
lxx.RA.GPF	<null>	pronoun, article, Gen Plur Fem
lxx.RA.GPM	<null>	pronoun, article, Gen Plur Masc
lxx.RA.GPN	<null>	pronoun, article, Gen Plur Neut
lxx.RA.GS	<null>	pronoun, article, Gen Sing
lxx.RA.GSF	<null>	pronoun, article, Gen Sing Fem
lxx.RA.GSM	<null>	pronoun, article, Gen Sing Masc
lxx.RA.GSN	<null>	pronoun, article, Gen Sing Neut
lxx.RA.NPF	<null>	pronoun, article, Nom Plur Fem
lxx.RA.NPM	<null>	pronoun, article, Nom Plur Masc
lxx.RA.NPN	<null>	pronoun, article, Nom Plur Neut
lxx.RA.NSF	<null>	pronoun, article, Nom Sing Fem
lxx.RA.NSM	<null>	pronoun, article, Nom Sing Masc
lxx.RA.NSN	<null>	pronoun, article, Nom Sing Neut
lxx.RA.VPM	<null>	pronoun, article, Voc Plur Masc
lxx.RA.VPN	<null>	pronoun, article, Voc Plur Neut
lxx.RA.VSF	<null>	pronoun, article, Voc Sing Fem
lxx.RA.VSM	<null>	pronoun, article, Voc Sing Masc
lxx.RA.VSN	<null>	pronoun, article, Voc Sing Neut
lxx.RA+A	<null>	pronoun, article + adjective
lxx.RA+A.ASN	<null>	pronoun, article + adjective, Acc Sing Neut
lxx.RD.APF	<null>	pronoun, demonstrative, Acc Plur Fem
lxx.RD.APM	<null>	pronoun, demonstrative, Acc Plur Masc
lxx.RD.APN	<null>	pronoun, demonstrative, Acc Plur Neut
lxx.RD.ASF	<null>	pronoun, demonstrative, Acc Sing Fem
lxx.RD.ASM	<null>	pronoun, demonstrative, Acc Sing Masc
lxx.RD.ASN	<null>	pronoun, demonstrative, Acc Sing Neut
lxx.RD.DPF	<null>	pronoun, demonstrative, Dat Plur Fem
lxx.RD.DPM	<null>	pronoun, demonstrative, Dat Plur Masc
lxx.RD.DPN	<null>	pronoun, demonstrative, Dat Plur Neut
lxx.RD.DSF	<null>	pronoun, demonstrative, Dat Sing Fem
lxx.RD.DSM	<null>	pronoun, demonstrative, Dat Sing Masc
lxx.RD.DSN	<null>	pronoun, demonstrative, Dat Sing Neut
lxx.RD.GPF	<null>	pronoun, demonstrative, Gen Plur Fem
lxx.RD.GPM	<null>	pronoun, demonstrative, Gen Plur Masc
lxx.RD.GPN	<null>	pronoun, demonstrative, Gen Plur Neut
lxx.RD.GS	<null>	pronoun, demonstrative, Gen Sing
lxx.RD.GSF	<null>	pronoun, demonstrative, Gen Sing Fem
lxx.RD.GSM	<null>	pronoun, demonstrative, Gen Sing Masc
lxx.RD.GSN	<null>	pronoun, demonstrative, Gen Sing Neut
lxx.RD.NPF	<null>	pronoun, demonstrative, Nom Plur Fem
lxx.RD.NPM	<null>	pronoun, demonstrative, Nom Plur Masc
lxx.RD.NPN	<null>	pronoun, demonstrative, Nom Plur Neut
lxx.RD.NSF	<null>	pronoun, demonstrative, Nom Sing Fem
lxx.RD.NSM	<null>	pronoun, demonstrative, Nom Sing Masc
lxx.RD.NSN	<null>	pronoun, demonstrative, Nom Sing Neut
lxx.RD+N.GSM	<null>	pronoun, demonstrative + noun, Gen Sing Masc
lxx.RI	<null>	pronoun, interrogative/indefinite
lxx.RI.APF	<null>	pronoun, interrogative/indefinite, Acc Plur Fem
lxx.RI.APM	<null>	pronoun, interrogative/indefinite, Acc Plur Masc
lxx.RI.APN	<null>	pronoun, interrogative/indefinite, Acc Plur Neut
lxx.RI.AS	<null>	pronoun, interrogative/indefinite, Acc Sing
lxx.RI.ASF	<null>	pronoun, interrogative/indefinite, Acc Sing Fem
lxx.RI.ASM	<null>	pronoun, interrogative/indefinite, Acc Sing Masc
lxx.RI.ASN	<null>	pronoun, interrogative/indefinite, Acc Sing Neut
lxx.RI.D	<null>	pronoun, interrogative/indefinite, Dat
lxx.RI.DPN	<null>	pronoun, interrogative/indefinite, Dat Plur Neut
lxx.RI.DSF	<null>	pronoun, interrogative/indefinite, Dat Sing Fem
lxx.RI.DSM	<null>	pronoun, interrogative/indefinite, Dat Sing Masc
lxx.RI.DSN	<null>	pronoun, interrogative/indefinite, Dat Sing Neut
lxx.RI.GPM	<null>	pronoun, interrogative/indefinite, Gen Plur Masc
lxx.RI.GPN	<null>	pronoun, interrogative/indefinite, Gen Plur Neut
lxx.RI.GS	<null>	pronoun, interrogative/indefinite, Gen Sing
lxx.RI.GSF	<null>	pronoun, interrogative/indefinite, Gen Sing Fem
lxx.RI.GSM	<null>	pronoun, interrogative/indefinite, Gen Sing Masc
lxx.RI.GSN	<null>	pronoun, interrogative/indefinite, Gen Sing Neut
lxx.RI.NPF	<null>	pronoun, interrogative/indefinite, Nom Plur Fem
lxx.RI.NPM	<null>	pronoun, interrogative/indefinite, Nom Plur Masc
lxx.RI.NPN	<null>	pronoun, interrogative/indefinite, Nom Plur Neut
lxx.RI.NS	<null>	pronoun, interrogative/indefinite, Nom Sing
lxx.RI.NSF	<null>	pronoun, interrogative/indefinite, Nom Sing Fem
lxx.RI.NSM	<null>	pronoun, interrogative/indefinite, Nom Sing Masc
lxx.RI.NSN	<null>	pronoun, interrogative/indefinite, Nom Sing Neut
lxx.RP.AP	<null>	pronoun, personal/possessive, Acc Plur
lxx.RP.APF	<null>	pronoun, personal/possessive, Acc Plur Fem
lxx.RP.APM	<null>	pronoun, personal/possessive, Acc Plur Masc
lxx.RP.APN	<null>	pronoun, personal/possessive, Acc Plur Neut
lxx.RP.AS	<null>	pronoun, personal/possessive, Acc Sing
lxx.RP.ASF	<null>	pronoun, personal/possessive, Acc Sing Fem
lxx.RP.ASM	<null>	pronoun, personal/possessive, Acc Sing Masc
lxx.RP.ASN	<null>	pronoun, personal/possessive, Acc Sing Neut
lxx.RP.DP	<null>	pronoun, personal/possessive, Dat Plur
lxx.RP.DPF	<null>	pronoun, personal/possessive, Dat Plur Fem
lxx.RP.DPM	<null>	pronoun, personal/possessive, Dat Plur Masc
lxx.RP.DS	<null>	pronoun, personal/possessive, Dat Sing
lxx.RP.DSF	<null>	pronoun, personal/possessive, Dat Sing Fem
lxx.RP.DSM	<null>	pronoun, personal/possessive, Dat Sing Masc
lxx.RP.GP	<null>	pronoun, personal/possessive, Gen Plur
