Αβραμιαῖος	
ἀγαυριάω	
ἀγκαλίς	
ἀγκωνίσκος	
ἀγριάνω	
ἀγριομυρίκη	
ἀγρίως	
ἀδελφικῶς	
ἀδεῶς	
ἀδιάπτωτος	
ἀδιάστροφος	
ἀδιάτρεπτος	
ἀδιεξέταστος	
ἀδόλως	
ἀδυναμέω	
ἀδυνάω	
αδων	
αδωρηεμ	
ἀθεσία	
ἀθέσμως	
ἀθέτημα	
ἀθλοθετέω	
αθουκιιν	
αἰγίδιον	
αιδαδ	
ἀϊδιότης	
αἰκίζομαι	
αιλ	
αιλαμ	
αιλαμμω	
αιλευ	
αἱμωδιάω	
αιν	
αἰνιγματιστής	
αἱρετίς	
αἰσθητική	
αἰσχρῶς	
αἰφνιδίως	
ἀκαλύπτως	
ακαν	
ακανα	
ἀκαταμάχητος	
ἀκατάποτος	
ἀκαταστατέω	
ἀκατέργαστος	
ἀκηδία	
ἀκηδιάζω	
ἀκηδιάω	
ἀκηλίδωτος	
ἀκιδωτόν	
ἀκληρέω	
ἀκολούθως	
ἀκοπιάστως	
ἀκόσμως	
ἀκουσιάζω	
ἀκούσιος	
ἀκουσίως	
ἀκουτίζω	
ἀκριβάζω	
ἀκριβασμός	
ἀκρίτως	
ἀκροφύλαξ	
ἀκύματος	
αλαιμωθ	
ἀλάσσω	
ἄλιμον	
ἀλλοεθνής	
ἁλμυρίς	
ἀλογίστως	
αλφ	
αλωθ	
αμαδαρωθ	
ἁμαρία	
αμασενιθ	
ἀμάσητος	
αματταρι	
αμαφεθ	
ἀμβλάκημα	
ἀμείδητος	
ἀμειξία	
ἄμελξις	
ἀμελῶς	
ἀμμανείτης	
ἀμμώδης	
ἀμνησία	
ἀμνησικακία	
ἀμνήστευτος	
ἀμόλυντος	
ἀμορίτη	
ἀμπλακία	
ἀμύγδαλον	
ἄμυνα	
ἀμφίασις	
ἀμφιβολεύς	
ἀμφίταπος	
ἀμφοτεροδέξιος	
ἀναβαθμίς	
ἀναβράζω	
ἀναγνεία	
ἀναγώγως	
ἀναζευγνύω	
ἀναζυγή	
ἀναιδῶς	
ἀναιτίως	
ἀνάκλισις	
ἀνάκλιτον	
ἀνάλημμα	
ἀναλημπτέος	
ἀναλημπτήρ	
ἀναλόγως	
ἀναμφισβητήτως	
ἀνάνευσις	
ἀναντία	
ἀναντλέω	
ἄναξις	
ἀναποδισμός	
ἀναποιέω	
ἀναπτέρωσις	
ἀναστρατοπεδεύω	
ἀνασύρω	
ἀνατίκτω	
ἀνατιναγμός	
ἀνατροφή	
ἀναφάλαντος	
ἀναφαλάντωμα	
ἀναφθάνω	
ἀναφορά	
ἀναφορεύς	
ἀναφράσσω	
ἀνδραγαθαέω	
ἀνδρειόω	
ἀνδρείως	
ἀνδρογύναιος	
ἀνδρολογεῖον	
ἀνδροφονέω	
ἀνδρωδῶς	
ἀνείκαστος	
ἀνεκλιπής	
ἀνελεημόνως	
ἀνελπίστως	
ἀνεξικακία	
ἀνεπιστρέπτως	
ἀνέτλην	
ἀνέφικτος	
ἀνήλατος	
ἀνθομολόγησις	
ἀνθράκινος	
ἀνθυφαιρέω	
ἀνίπταμαι	
ἀνομβρέω	
ἀνόμημα	
ἀνοσίως	
ἄνους	
ἀντάμειψις	
ἀντανακλάω	
ἀνταποθνήσκω	
ἀνταπόκρισις	
ἀνταποστέλλω	
ἀνταποτίνω	
ἀντιδοκέω	
ἀντίζηλος	
ἀντίθετος	
ἀντικρίνω	
ἀντιλήπτωρ	
ἀντίον	
ἀντίοχος	
ἀντιπαραγωγή	
ἀντίπτωμα	
ἀντίρρησις	
ἀντιρρητορεύω	
ἀντιστήριγμα	
ἀντιστηρίζω	
ἀντίψυχος	
ἀνυπερθέτως	
ἀνυπόδετος	
ἀνυπομόνητος	
ἀπαδικέω	
ἀπαμαυρόω	
ἀπάνωθεν	
ἀπαραλλάκτως	
ἀπαραπόδιστος	
ἀπαρασήμαντος	
ἄπαρσις	
ἀπαρτία	
ἀπάρχω	
ἀπασπάζομαι	
ἀπάτησις	
ἀπείκασμα	
ἀπεκδίδωμι	
ἀπέκτασις	
ἀπελέκητος	
ἀπενεόομαι	
ἀπερικάθαρτος	
ἀπευθανατίζω	
ἀπεχθῶς	
ἄπιος	
ἀπληστεύομαι	
ἁπλοσύνη	
ἀπόβλημα	
ἀπογινώσκω	
ἀποδεκατίζω	
ἀποδεσμεύω	
ἀποδέω	
ἀποδιαστέλλω	
ἀπόδομα	
ἀποδοχεῖον	
ἀποικεσία	
ἀποκαθαρίζω	
ἀποκακέω	
ἀποκάλυμμα	
ἀποκενόω	
ἀποκεντέω	
ἀποκέντησις	
ἀποκιδαρόω	
ἀπόκλεισμα	
ἀποκρυβή	
ἀποκρυφή	
ἀποκωφόομαι	
ἀπολεπίζω	
ἀπολιθόω	
ἀπόλλω	
ἀπόλοιπος	
ἀπομαρτυρέω	
ἀπομέμφομαι	
ἀπόμοιρα	
ἀποξαίνω	
ἀποπαρθενεύομαι	
ἀποπιέζω	
ἀποπλάνησις	
ἀποποιέω	
ἀποπομπαῖος	
ἀποπρατίζομαι	
ἀπόπτωμα	
ἀποργίζομαι	
ἀπορρήσσω	
ἀπόρροια	
ἀποσκαρίξω	
ἀποσκληρύνω	
ἀποσκοπεύω	
ἀποσκορακισμός	
ἀποστάτις	
ἀποστρεβαλόομαι	
ἀποσυνάγω	
ἀποσφενδονάω	
ἀποσφράγισμα	
ἀποτηγανίζω	
ἀποτίκτω	
ἀποτίναγμα	
ἀποτροπιάζω	
ἀποτρυγάω	
ἀποτυφλόω	
ἀποφράσσω	
ἀπρονοήτως	
ἀπρόπτωτος	
ἀπροσδοκήτως	
ἀπτόητος	
ἀπωσμός	
αρααβ	
ἀργυροκοπέω	
ἀργυρολόγητος	
ἀργυροχόος	
ἀργύρωμα	
ἀρδαλόω	
ἀρέσω	
ἀρεταλογία	
ἀρθρέμβολον	
αριηλ	
ἀριστέω	
αριωθ	
ἀρκεύθινος	
ἄρκευθος	
ἀρκτοῦρος	
ἁρμόνιος	
ἀροτρόπους	
ἅρπαγμα	
ἀρρενωδῶς	
ἄρριζος	
ἀρτήρ	
ἀρτίως	
ἀρτοκοπικός	
ἀρχιεράομαι	
ἀρχιερατεύω	
ἀρχιευνοῦχος	
ἀρχιπατριώτης	
ἀρχισωματοφύλαξ	
ἀρχιτεκτονία	
ἀρχίφυλος	
ασαραμελ	
ασαρημωθ	
ἀσβόλη	
ασελισι	
ἄσηπτος	
ασηρωθ	
ἀσθενόψυχος	
ἄσθμα	
ἀσίδα	
Ασιδαῖος	
ἀσιτί	
ἀσκοπυτίνη	
ἀσπάλαξ	
ἀσπιδίσκη	
ἄστεγος	
ἀστείως	
ἄστεκτος	
ἀστρολόγος	
ἀσυνθετέω	
ἀσυρής	
ἀσφαλτόπισσα	
ἀταραξία	
ἀτάραχος	
ἀτελεία	
ἄτρυγος	
ἀττάκης	
ἀττέλεβος	
αὔγασμα	
αὔγω	
αὐθαιρέτως	
αὐθεντία	
αὐθημερινός	
αὐθημερόν	
αὐθωρί	
αὐλάρχης	
αὐλαρχία	
αὐστηρία	
αὐταρκέω	
αὐτοδέσποτος	
αὐτοσχεδίως	
ἀφαίρεμα	
ἄφεδρος	
ἀφειδῶς	
ἄφεμα	
ἀφεύκτως	
ἀφθόνως	
ἀφόδευμα	
ἀφοδεύω	
ἀφόμοιος	
ἀφόρισμα	
ἀφορισμός	
ἀφορολόγητος	
ἀφρονεύομαι	
ἀφυλάκτως	
ἀφυστερέω	
αφφουσωθ	
αφφω	
ἀχαρίστως	
ἀχάτης	
αχουχ	
ἀχρειότης	
ἄωρος	
βααλταμ	
βαδδιν	
βαθύφωνον	
βαθύχειλος	
βαΐνη	
βακχούριον	
βαμα	
βαρ	
βαρακηνιμ	
βαρβαρόω	
βαρβάρως	
βαρκοννιμ	
βαρύγλωσσος	
βαρυκάρδιος	
βαρυτέρως	
βαρχαβωθ	
βασανιστήριον	
βασιλίσκος	
βδελυγμός	
βεβαίως	
βεβήλωσις	
βεδεκ	
βεθ	
βελόστασις	
βενιαμιν	
βερσεχθαν	
βηθ	
βηρύλλιον	
βιαίως	
βιβλιαφόρος	
βιβλιοθήκη	
βιβλιοφυλάκιον	
βιότης	
βιρα	
βλαστάω	
βοήθημα	
βόλβιτον	
βόμβησις	
βοοζύγιον	
βοτρύδιον	
βούβαλος	
βούκεντρον	
βουλόλιον	
βραγχιάω	
βραδέως	
βραδύγλωσσος	
βραχέως	
βραχυτελής	
βυθοτρεφής	
γαβης	
γαβιν	
γαβις	
γαζαρηνός	
γαι	
γαῖσος	
γαλακτοποτέω	
γαλακτοτροφία	
γαλεάγρα	
γαλῆ	
γαρεμ	
γασβαρηνός	
γαυριόω	
γαυρόω	
γεδδουρ	
γεδωρ	
γεῖσος	
γειώρας	
γελοιασμός	
γελοιαστής	
γελοῖος	
γενεσιάρχης	
γενεσιουργός	
γενέτις	
γενικός	
γενναίως	
γεῦσις	
γηροβόσκω	
γιμαλ	
