A	adjective
N.GP	noun, Gen Plur
N.GPF	noun, Gen Plur Fem
N.GPM	noun, Gen Plur Masc
N.GPMS	noun, Gen Plur Masc Superlative
N.GPN	noun, Gen Plur Neut
N.GS	noun, Gen Sing
N.GSF	noun, Gen Sing Fem
N.GSM	noun, Gen Sing Masc
N.GSN	noun, Gen Sing Neut
N.N	noun, Nom
N.N M	noun, Nom Masc
N.NP	noun, Nom Plur
N.NPF	noun, Nom Plur Fem
N.NPM	noun, Nom Plur Masc
N.NPN	noun, Nom Plur Neut
N.NS	noun, Nom Sing
N.NSF	noun, Nom Sing Fem
N.NSM	noun, Nom Sing Masc
N.NSN	noun, Nom Sing Neut
N.S	noun, Sing
N.SF	noun, Sing Fem
N.SM	noun, Sing Masc
N.SN	noun, Sing Neut
N.VPF	noun, Voc Plur Fem
N.VPM	noun, Voc Plur Masc
N.VPN	noun, Voc Plur Neut
N.VS	noun, Voc Sing
N.VSF	noun, Voc Sing Fem
N.VSM	noun, Voc Sing Masc
N.VSN	noun, Voc Sing Neut
P	preposition
P+A.ASM	preposition + adjective, Acc Sing Masc
P+X	preposition + particle
RA.APF	pronoun, article, Acc Plur Fem
RA.APM	pronoun, article, Acc Plur Masc
RA.APN	pronoun, article, Acc Plur Neut
RA.ASF	pronoun, article, Acc Sing Fem
RA.ASM	pronoun, article, Acc Sing Masc
RA.ASN	pronoun, article, Acc Sing Neut
RA.DP	pronoun, article, Dat Plur
RA.DPF	pronoun, article, Dat Plur Fem
RA.DPM	pronoun, article, Dat Plur Masc
RA.DPN	pronoun, article, Dat Plur Neut
RA.DS	pronoun, article, Dat Sing
RA.DSF	pronoun, article, Dat Sing Fem
RA.DSM	pronoun, article, Dat Sing Masc
RA.DSN	pronoun, article, Dat Sing Neut
RA.GP	pronoun, article, Gen Plur
RA.GPF	pronoun, article, Gen Plur Fem
RA.GPM	pronoun, article, Gen Plur Masc
RA.GPN	pronoun, article, Gen Plur Neut
RA.GS	pronoun, article, Gen Sing
RA.GSF	pronoun, article, Gen Sing Fem
RA.GSM	pronoun, article, Gen Sing Masc
RA.GSN	pronoun, article, Gen Sing Neut
RA.NPF	pronoun, article, Nom Plur Fem
RA.NPM	pronoun, article, Nom Plur Masc
RA.NPN	pronoun, article, Nom Plur Neut
RA.NSF	pronoun, article, Nom Sing Fem
RA.NSM	pronoun, article, Nom Sing Masc
RA.NSN	pronoun, article, Nom Sing Neut
RA.VPM	pronoun, article, Voc Plur Masc
RA.VPN	pronoun, article, Voc Plur Neut
RA.VSF	pronoun, article, Voc Sing Fem
RA.VSM	pronoun, article, Voc Sing Masc
RA.VSN	pronoun, article, Voc Sing Neut
