Gen
Exod
Lev
Num
Deut
Josh
Judg
Ruth
1Sam
2Sam
1Kgs
2Kgs
1Chr
2Chr
1Esdr
2Esdr
Esth
Jdt
TobBA
TobS
1Mac
2Mac
3Mac
4Mac
Ps
Od
Prov
Qoh
Cant
Job
Wis
Sir
PsSol
Hos
Mic
Amos
Joel
Jonah
Obad
Nah
Hab
Zeph
Hag
Zech
Mal
Isa
Jer
Bar
EpJer
Lam
Ezek
Bel
BelTh
Dan
DanTh
Sus
SusTh
