01O	23	5
01O	23	5
01O	23	6
01O	23	14
01O	23	14
01O	23	15
01O	31	26
01O	31	27
01O	31	27
01O	31	44
01O	31	46
01O	31	48
01O	31	48
01O	31	50
01O	31	50
01O	31	51
01O	31	52
01O	31	52
01O	31	55
01O	32	1
01O	32	2
01O	32	3
01O	32	4
01O	32	5
01O	32	6
01O	32	7
01O	32	8
01O	32	9
01O	32	10
01O	32	11
01O	32	12
01O	32	13
01O	32	14
01O	32	15
01O	32	16
01O	32	17
01O	32	18
01O	32	19
01O	32	20
01O	32	21
01O	32	22
01O	32	23
01O	32	24
01O	32	25
01O	32	26
01O	32	27
01O	32	28
01O	32	29
01O	32	30
01O	32	31
01O	32	32
01O	35	16
01O	35	21
01O	47	5
01O	47	5
01O	47	6
02O	8	1
02O	8	2
02O	8	3
02O	8	4
02O	8	5
02O	8	6
02O	8	7
02O	8	8
02O	8	9
02O	8	10
02O	8	11
02O	8	12
02O	8	13
02O	8	14
02O	8	15
02O	8	16
02O	8	17
02O	8	18
02O	8	19
02O	8	20
02O	8	21
02O	8	22
02O	8	23
02O	8	24
02O	8	25
02O	8	26
02O	8	27
02O	8	28
02O	8	29
02O	8	30
02O	8	31
02O	8	32
02O	20	13
02O	20	14
02O	20	15
02O	21	16
02O	21	17
02O	22	1
02O	22	2
02O	22	3
02O	22	4
02O	22	5
02O	22	6
02O	22	7
02O	22	8
02O	22	9
02O	22	10
02O	22	11
02O	22	12
02O	22	13
02O	22	14
02O	22	15
02O	22	16
02O	22	17
02O	22	18
02O	22	19
02O	22	20
02O	22	21
02O	22	22
02O	22	23
02O	22	24
02O	22	25
02O	22	26
02O	22	27
02O	22	28
02O	22	29
02O	22	30
02O	22	31
02O	25	6
02O	25	38
02O	25	39
02O	25	39
02O	28	23
02O	28	24
02O	28	25
02O	28	26
02O	28	27
02O	28	28
02O	28	29
02O	28	29
02O	29	20
02O	29	20
02O	29	21
02O	30	27
02O	30	27
02O	30	28
02O	35	15
02O	35	17
02O	35	18
02O	36	8
02O	36	9
02O	36	10
02O	36	11
02O	36	12
02O	36	13
02O	36	14
02O	36	15
02O	36	16
02O	36	17
02O	36	18
02O	36	19
02O	36	20
02O	36	21
02O	36	22
02O	36	23
02O	36	24
02O	36	25
02O	36	26
02O	36	27
02O	36	28
02O	36	29
02O	36	30
02O	36	31
02O	36	32
02O	36	33
02O	36	34
02O	36	35
02O	36	36
02O	36	37
02O	36	38
02O	37	1
02O	37	2
02O	37	3
02O	37	4
02O	37	4
02O	37	4
02O	37	5
02O	37	6
02O	37	7
02O	37	8
02O	37	9
02O	37	10
02O	37	11
02O	37	12
02O	37	13
02O	37	14
02O	37	15
02O	37	16
02O	37	17
02O	37	17
02O	37	17
02O	37	18
02O	37	18
02O	37	19
02O	37	20
02O	37	21
02O	37	22
02O	37	23
02O	37	24
02O	37	25
02O	37	26
02O	37	27
02O	37	28
02O	37	29
02O	38	1
02O	38	2
02O	38	3
02O	38	4
02O	38	5
02O	38	6
02O	38	7
02O	38	8
02O	38	9
02O	38	10
02O	38	11
02O	38	12
02O	38	13
02O	38	14
02O	38	15
02O	38	16
02O	38	17
02O	38	18
02O	38	18
02O	38	19
02O	38	19
02O	38	20
02O	38	20
02O	38	21
02O	38	21
02O	38	22
02O	38	23
02O	38	24
02O	38	25
02O	38	26
02O	38	27
02O	38	28
02O	38	29
02O	38	30
02O	38	30
02O	38	31
02O	39	1
02O	39	1
02O	39	1
02O	39	2
02O	39	3
02O	39	4
02O	39	4
02O	39	5
02O	39	6
02O	39	7
02O	39	8
02O	39	9
02O	39	10
02O	39	11
02O	39	12
02O	39	13
02O	39	14
02O	39	15
02O	39	16
02O	39	17
02O	39	18
02O	39	19
02O	39	20
02O	39	21
02O	39	22
02O	39	23
02O	39	24
02O	39	25
02O	39	26
02O	39	27
02O	39	28
02O	39	29
02O	39	30
02O	39	31
02O	39	32
02O	39	33
02O	39	34
02O	39	35
02O	39	36
02O	39	37
02O	39	38
02O	39	39
02O	39	40
02O	39	41
02O	39	42
02O	39	42
02O	39	43
02O	40	6
02O	40	7
02O	40	10
02O	40	11
02O	40	27
02O	40	28
02O	40	30
02O	40	31
02O	40	32
03O	6	1
03O	6	2
03O	6	3
03O	6	4
03O	6	5
03O	6	6
03O	6	7
03O	6	8
03O	6	9
03O	6	10
03O	6	11
03O	6	12
03O	6	13
03O	6	14
03O	6	15
03O	6	16
03O	6	17
03O	6	18
03O	6	19
03O	6	20
03O	6	21
03O	6	22
03O	6	23
03O	6	24
03O	6	25
03O	6	26
03O	6	27
03O	6	28
03O	6	29
03O	6	30
03O	8	10
03O	8	10
03O	8	11
04O	1	24
04O	1	25
04O	1	26
04O	1	27
04O	1	28
04O	1	29
04O	1	30
04O	1	31
04O	1	32
04O	1	33
04O	1	34
04O	1	35
04O	1	36
04O	1	37
04O	6	23
04O	6	27
04O	10	34
04O	10	35
04O	10	36
04O	15	14
04O	15	15
04O	15	15
04O	16	36
04O	16	37
04O	16	38
04O	16	39
04O	16	40
04O	16	41
04O	16	42
04O	16	43
04O	16	44
04O	16	45
04O	16	46
04O	16	47
04O	16	48
04O	16	49
04O	16	50
04O	17	1
04O	17	2
04O	17	3
04O	17	4
04O	17	5
04O	17	6
04O	17	7
04O	17	8
04O	17	9
04O	17	10
04O	17	11
04O	17	12
04O	17	13
04O	25	18
04O	25	18
04O	26	1
04O	26	15
04O	26	16
04O	26	17
04O	26	18
04O	26	19
04O	26	20
04O	26	21
04O	26	22
04O	26	23
04O	26	24
04O	26	25
04O	26	26
04O	26	27
04O	26	28
04O	26	29
04O	26	30
04O	26	31
04O	26	32
04O	26	33
04O	26	34
04O	26	35
04O	26	36
04O	26	37
04O	26	38
04O	26	39
04O	26	40
04O	26	41
04O	26	42
04O	26	43
04O	26	44
04O	26	45
04O	26	46
04O	26	47
04O	28	23
04O	28	23
04O	28	24
04O	29	40
04O	30	1
04O	30	2
04O	30	3
04O	30	4
04O	30	5
04O	30	6
04O	30	7
04O	30	8
04O	30	9
04O	30	10
04O	30	11
04O	30	12
04O	30	13
04O	30	14
04O	30	15
04O	30	16
04O	35	14
04O	35	14
04O	35	15
05O	4	29
05O	4	30
05O	4	30
05O	5	17
05O	5	18
05O	12	32
05O	13	1
05O	13	2
05O	13	3
05O	13	4
05O	13	5
05O	13	6
05O	13	7
05O	13	8
05O	13	9
05O	13	10
05O	13	11
05O	13	12
05O	13	13
05O	13	14
05O	13	15
05O	13	16
05O	13	17
05O	13	18
05O	20	15
05O	20	15
05O	20	16
05O	22	30
05O	23	1
05O	23	2
05O	23	3
05O	23	4
05O	23	5
05O	23	6
05O	23	7
05O	23	8
05O	23	9
05O	23	10
05O	23	11
05O	23	12
05O	23	13
05O	23	14
05O	23	15
05O	23	16
05O	23	17
05O	23	18
05O	23	19
05O	23	20
05O	23	21
05O	23	22
05O	23	23
05O	23	24
05O	23	25
05O	23	25
05O	29	1
05O	29	2
05O	29	3
05O	29	4
05O	29	5
05O	29	6
05O	29	7
05O	29	8
05O	29	9
05O	29	10
05O	29	11
05O	29	12
05O	29	13
05O	29	14
05O	29	15
05O	29	16
05O	29	17
05O	29	18
