G700086		Ἀβούβος	aboubos	avuvos	Aboubos; Avuvos
G700087		ἀβουλεύτως	abouleutōs	avuleftos	ill-advised; inconsiderate
G700088		ἀβουλέω	abouleō	avuleo	unwilling
G700089		ἀβουλία	aboulia	avuliya	want of counsel; thoughtlessness
G700090		ἅβρα	habra	avra	favorite slave
G700091		Ἀβραάμ	abraam	avraam	Abraam; Avraam
G700092		Ἀβρααμίτις	abraamitis	avraamiytiys	Abraamitis; Avraamitis
G700093		Αβραμ	abram	avram	Abram; Avram
G700094		Αβραμιαῖος	abramiaios	avramiyeos	Abraham; worthy of Abraham
G700095		ἀβροχία	abrochia	avrokhiya	want of rain; drought
G700096		Αβρωνα	abrōna	avrona	Abrōna; Avrona
G700097		ἄβρωτος	abrōtos	avrotos	uneatable; not good for food
G700098		ἄβυσσος	abyssos	aviyssos	abyss
G700099		Αβωμεουλα	abōmeoula	avomeula	Abōmeoula; Avomeula
G700100		Αβωρ	abōr	avor	Abōr; Avor
G700101		Αγαβ	agab	agav	Agab; Agav
G700102		Αγαβα	agaba	agava	Agaba; Agava
G700103		Αγαγ	agag	agag	Agag
G700104		ἀγαθοποιέω	agathopoieō	agaθopiyeo	do good
G700105		ἀγαθοποιός	agathopoios	agaθopiyos	doing good
G700106		ἀγαθός	agathos	agaθos	good
G700107		ἀγαθότης	agathotēs	agaθotiys	goodness
G700108		ἀγαθόω	agathoō	agaθoo	do good to
G700109		ἀγαθύνω	agathynō	agaθiyno	cheer; make good
G700110		ἀγαθῶς	agathōs	agaθos	good
G700111		ἀγαθωσύνη	agathōsynē	agaθosiyniy	goodness
G700112		ἀγαλλίαμα	agalliama	agalliyama	joy; rejoicing
G700113		ἀγαλλίασις	agalliasis	agalliyasiys	exultation; joyfulness
G700114		ἀγαλλιάω	agalliaō	agalliyao	jump for joy
G700115		Αγαλλιμ	agallim	agalliym	Agallim
G700116		ἄγαλμα	agalma	agalma	glory; delight
G700117		ἄγαμος	agamos	agamos	unmarried
G700118		ἄγαν	agan	agan	very; much
G700119		ἀγανακτέω	aganakteō	aganakteo	indignant
G700120		ἀγαπάω	agapaō	agapao	love
G700121		ἀγαπέω	agapeō	agapeo	greet with affection
G700122		ἀγάπη	agapē	agapiy	love
G700123		ἀγάπησις	agapēsis	agapiysiys	loving
G700124		ἀγαπητός	agapētos	agapiytos	loved; beloved
G700125		Ἄγαρ	agar	agar	Agar
G700126		Αγαραῖος	agaraios	agareos	Agaraios; Agareos
G700127		Αγαρηνός	agarēnos	agariynos	Agarēnos; Agarinos
G700128		Αγαρι	agari	agariy	Agari
G700129		Αγαρίτης	agaritēs	agariytiys	Agaritēs; Agaritis
G700130		Αγαρμι	agarmi	agarmiy	Agarmi
G700131		ἀγαυρίαμα	agauriama	agavriyama	pride; boastfulness
G700132		ἀγαυριάω	agauriaō	agavriyao	boast
G700133		Αγγαβα	angaba	anggava	Angaba; Anggava
G700134		Αγγαι	angai	angge	Angai; Angge
G700135		Αγγαιας	angaias	anggeas	Angaias; Anggeas
G700136		Ἁγγαῖος	hangaios	anggeos	Hangaios; Anggeos
G700137		Αγγαιου	angaiou	anggeu	Angaiou; Anggeu
G700138		ἀγγεῖον	angeion	anggiyon	container
G700139		ἀγγελία	angelia	anggeliya	message
G700140		ἄγγελος	angelos	anggelos	messenger
G700141		Αγγι	angi	anggiy	Angi; Anggi
G700142		Αγγια	angia	anggiya	Angia; Anggia
G700143		Αγγιθ	angith	anggiyθ	Angith; Anggith
G700144		Αγγις	angis	anggiys	Angis; Anggis
G700145		ἄγγος	angos	anggos	pail
G700146		Αγεαδδαϊρ	ageaddair	ayeaððaiyr	Ageaddair; Ayeathther
G700147		ἀγελαῖος	agelaios	ayeleos	belonging to a herd; feeding at large
G700148		ἀγέλη	agelē	ayeliy	herd
G700149		ἀγεληδόν	agelēdon	ayeliyðon	in herds
G700150		ἀγερωχία	agerōchia	ayerokhiya	arrogance
G700151		ἀγέρωχος	agerōchos	ayerokhos	high-minded; lordly
G700152		Αγια	agia	ayiya	Agia; Ayia
G700153		ἁγιάζω	hagiazō	ayiyazo	hallow
G700154		ἁγίασμα	hagiasma	ayiyazma	sanctuary
G700155		ἁγιασμός	hagiasmos	ayiyazmos	hallowing
G700156		ἁγιαστήριον	hagiastērion	ayiyastiyriyon	holy place; sanctuary
G700157		ἁγιαστία	hagiastia	ayiyastiya	ritual; service
G700158		Αγιν	agin	ayiyn	Agin; Ayin
G700159		ἅγιος	hagios	ayiyos	holy
G700160		ἁγιότης	hagiotēs	ayiyotiys	holiness
G700161		ἁγιωσύνη	hagiōsynē	ayiyosiyniy	holiness
G700162		ἀγκάλη	ankalē	anggaliy	arm
G700163		ἀγκαλίς	ankalis	anggaliys	arm
G700164		ἄγκιστρον	ankistron	anggiystron	hook
G700165		ἀγκύλη	ankylē	anggiyliy	loop
G700166		ἀγκών	ankōn	anggon	bend of the arm; elbow
G700167		ἀγκωνίσκος	ankōniskos	anggoniyskos	anything which is curved; joint
G700168		Αγλα	agla	agla	Agla
G700169		Αγλαθ-σαλισια	aglath-salisia	aglaθ-saliysiya	Aglath-salisia
G700170		Αγλων	aglōn	aglon	Aglōn; Aglon
G700171		ἁγνεία	hagneia	agniya	purity
G700172		ἁγνίζω	hagnizō	agniyzo	purify
G700173		ἅγνισμα	hagnisma	agniyzma	purification; expiation
G700174		ἁγνισμός	hagnismos	agniyzmos	purification
G700175		ἀγνοέω	agnoeō	agnoeo	ignorant; ignore
G700176		ἀγνόημα	agnoēma	agniyma	mistake
G700177		ἄγνοια	agnoia	agniya	ignorance
G700178		ἁγνός	hagnos	agnos	pure
G700179		ἄγνος	agnos	agnos	willow-like tree
G700180		ἀγνωσία	agnōsia	agnosiya	ignorance
G700181		ἄγνωστος	agnōstos	agnostos	unknown
G700182		ἄγονος	agonos	agonos	unborn
G700183		ἀγορά	agora	agora	marketplace
G700184		ἀγοράζω	agorazō	agorazo	buy
G700185		ἀγορανομία	agoranomia	agoranomiya	market-supervisor
G700186		ἀγορασμός	agorasmos	agorazmos	purchase
G700187		ἀγοραστής	agorastēs	agorastiys	slave who bought provisions for the house; purveyor
G700188		ἀγρεύω	agreuō	agrevo	catch
G700189		ἀγριάνω	agrianō	agriyano	angered; provoked
G700190		ἀγριομυρίκη	agriomyrikē	agriyomiyriykiy	tamarisk
G700191		ἄγριος	agrios	agriyos	wild
G700192		ἀγριότης	agriotēs	agriyotiys	wildness; savageness
G700193		ἀγριόω	agrioō	agriyoo	make wild
G700194		ἀγρίως	agriōs	agriyos	cruelly
G700195		ἄγροικος	agroikos	agriykos	rustic
G700196		ἀγρός	agros	agros	field
G700197		ἀγρυπνέω	agrypneō	agriypneo	slumberless; sleepless
G700198		ἀγρυπνία	agrypnia	agriypniya	slumberlessness
G700199		ἄγρωστις	agrōstis	agrostiys	grass that mules fed on
G700200		ἀγυιά	aguia	ayiya	street; highway
G700201		Αγχις	anchis	angghiys	Anchis; Angghis
G700202		ἀγχιστεία	anchisteia	angghiystiya	right of kin
G700203		ἀγχιστεύς	anchisteus	angghiystefs	next of kin
G700204		ἀγχιστευτής	anchisteutēs	angghiysteftiys	next of kin
G700205		ἀγχιστεύω	anchisteuō	angghiystevo	next of kin
G700206		Αγχους	anchous	angghus	Anchous; Angghus
G700207		ἄγχω	anchō	anggho	compress; press tight
G700208		Αγχωχ	anchōch	angghokh	Anchōch; Angghokh
G700209		ἄγω	agō	ago	lead; pass
G700210		ἀγωγή	agōgē	agoyiy	leading
G700211		ἀγών	agōn	agon	contest; contention
G700212		ἀγωνία	agōnia	agoniya	contention; agony
G700213		ἀγωνιάω	agōniaō	agoniyao	contend eagerly; struggle
G700214		ἀγωνίζομαι	agōnizomai	agoniyzome	contend; fight
G700215		ἀγωνιστής	agōnistēs	agoniystiys	rival
G700216		Αδα	ada	aða	Ada; Atha
G700217		Αδαδ	adad	aðað	Adad; Athath
G700218		Αδαδα	adada	aðaða	Adada; Athatha
G700219		Αδαι	adai	aðe	Adai; Athe
G700220		Αδαια	adaia	aðea	Adaia; Athea
G700221		Αδαιας	adaias	aðeas	Adaias; Atheas
G700222		Ἀδάμ	adam	aðam	Adam; Atham
G700223		Αδαμα	adama	aðama	Adama; Athama
G700224		ἀδαμάντινος	adamantinos	aðamantiynos	adamantine
G700225		ἀδάμας	adamas	aðamas	untamed; unconquerable
G700226		ἀδάμαστος	adamastos	aðamastos	inflexible
G700227		Αδαμι	adami	aðamiy	Adami; Athami
G700228		Αδαν	adan	aðan	Adan; Athan
G700229		Αδαρ	adar	aðar	Adar; Athar
G700230		Αδαρι	adari	aðariy	Adari; Athari
G700231		Αδασα	adasa	aðasa	Adasa; Athasa
G700232		Αδασαι	adasai	aðase	Adasai; Athase
G700233		Αδασαν	adasan	aðasan	Adasan; Athasan
G700234		Αδδαι	addai	aððe	Addai; Aththe
G700235		Αδδαιον	addaion	aððeon	Addaion; Aththeon
G700236		Αδδαιω	addaiō	aððeo	Addaiō; Aththeo
G700237		Αδδαμιν	addamin	aððamiyn	Addamin; Aththamin
G700238		Αδδαρα	addara	aððara	Addara; Aththara
G700239		Ἀδδί	addi	aððiy	Addi; Aththi
G700240		Αδδους	addous	aððus	Addous; Aththus
G700241		Αδδω	addō	aððo	Addō; Aththo
G700242		ἄδεια	adeia	aðiya	freedom from fear
G700243		ἄδειπνος	adeipnos	aðiypnos	supperless
G700244		ἀδελφή	adelphē	aðelfiy	sister
G700245		ἀδελφιδός	adelphidos	aðelfiyðos	nephew; brother’s son
G700246		ἀδελφικῶς	adelphikōs	aðelfiykos	brotherly
G700247		ἀδελφοκτόνος	adelphoktonos	aðelfoktonos	murdering a brother
G700248		ἀδελφοπρεπῶς	adelphoprepōs	aðelfoprepos	as befits a brother
G700249		ἀδελφός	adelphos	aðelfos	brother
G700250		ἀδελφότης	adelphotēs	aðelfotiys	brotherhood
